customer_id,name,state,city,total_orders,lifetime_value,avg_order_value,first_order,last_order,segment
C01653,Sai Shankar,Uttar Pradesh,Ahmedabad,8,1079400.04,134925.01,2022-08-23,2024-03-16,Platinum
C00598,Lekha Parmer,Maharashtra,Kanpur,5,1057280.42,211456.08,2022-09-14,2024-10-17,Platinum
C01396,Ganga Handa,Maharashtra,Jalandhar,8,1020707.42,127588.43,2022-10-29,2024-05-14,Platinum
C00652,Omya Kashyap,Uttar Pradesh,Amritsar,7,1007406.94,143915.28,2022-01-02,2024-10-02,Platinum
C00698,Utkarsh Jani,Karnataka,Kanpur,5,961597.52,192319.5,2022-12-20,2024-05-27,Platinum
C01697,Ishanvi Agate,Madhya Pradesh,Orai,4,892233.14,223058.29,2022-05-09,2024-06-08,Platinum
C00799,Nandini Chakraborty,Madhya Pradesh,Ichalkaranji,6,839471.68,139911.95,2022-05-24,2024-11-05,Platinum
C01170,Abhiram Goswami,Haryana,Agra,6,833821.24,138970.21,2023-05-24,2024-08-24,Platinum
C01348,Harish Sagar,Haryana,Rajkot,6,828250.56,138041.76,2023-06-23,2024-12-07,Platinum
C00813,Nihal Bora,Telangana,Sasaram,5,791447.29,158289.46,2023-08-04,2024-10-29,Platinum
C00007,Kashvi Patil,Madhya Pradesh,Unnao,4,788248.88,197062.22,2022-08-16,2024-09-23,Platinum
C01325,Nidhi Pandey,Maharashtra,Pudukkottai,4,784148.12,196037.03,2022-02-25,2024-05-07,Platinum
C01022,Abdul Kata,Delhi,Karawal Nagar,5,776404.39,155280.88,2022-03-25,2024-02-16,Platinum
C00628,Januja Chacko,Rajasthan,Kurnool,5,772446.78,154489.36,2022-05-04,2024-03-27,Platinum
C00372,Utkarsh Acharya,Uttar Pradesh,Mirzapur,5,751328.51,150265.7,2022-04-18,2024-11-11,Platinum
C01487,Mason Vora,Madhya Pradesh,Surendranagar Dudhrej,5,739470.0,147894.0,2023-06-29,2024-12-13,Platinum
C00889,Pranav Trivedi,Odisha,Nizamabad,5,732358.59,146471.72,2022-01-23,2023-07-06,Platinum
C01617,Ekavir Mandal,Karnataka,Gwalior,3,732112.83,244037.61,2022-02-27,2022-07-18,Platinum
C01631,Darsh Sunder,Karnataka,Avadi,2,727348.07,363674.03,2022-05-26,2024-11-24,Platinum
C01452,Bhavani Saraf,Odisha,Delhi,6,720765.35,120127.56,2022-06-13,2024-07-09,Platinum
C01835,Gagan Bhalla,Tamil Nadu,Tadepalligudem,7,718209.08,102601.3,2022-01-28,2024-11-22,Platinum
C00596,Bachittar Ray,Madhya Pradesh,Thoothukudi,5,713504.58,142700.92,2022-07-13,2024-08-29,Platinum
C01218,Nicholas Sanghvi,Uttar Pradesh,Nizamabad,5,713346.78,142669.36,2022-05-12,2024-12-13,Platinum
C00999,Sara Garde,West Bengal,Phusro,5,711606.46,142321.29,2022-07-31,2024-11-18,Platinum
C01548,Onveer Vasa,West Bengal,Nagpur,4,709145.54,177286.39,2022-06-26,2024-07-10,Platinum
C00315,Bhavani Buch,Kerala,Sonipat,5,695881.8,139176.36,2022-07-23,2024-12-23,Platinum
C01450,Reyansh Bera,Tamil Nadu,Alappuzha,9,692286.23,76920.69,2022-09-06,2024-11-26,Platinum
C00026,Nathan Goda,Bihar,Jaunpur,6,691964.73,115327.46,2022-07-03,2024-09-03,Platinum
C01058,Aayush Kari,West Bengal,Bally,4,690966.76,172741.69,2022-02-21,2024-10-11,Platinum
C01048,Jacob Gala,Delhi,Jamshedpur,6,688342.01,114723.67,2022-10-18,2024-12-19,Platinum
C00062,Dayita Narang,Delhi,Bharatpur,3,676235.84,225411.95,2022-01-21,2023-05-11,Platinum
C01125,Ekansh Trivedi,Kerala,Kolhapur,7,672990.06,96141.44,2022-04-25,2024-09-06,Platinum
C01836,Ishaan Bal,Odisha,Deoghar,4,671601.66,167900.42,2022-06-26,2023-12-03,Platinum
C00590,Ekalinga Vora,Odisha,Machilipatnam,5,669590.78,133918.16,2022-01-07,2024-03-29,Platinum
C01233,Ekbal Golla,Madhya Pradesh,Jamshedpur,6,664863.99,110810.66,2022-01-11,2024-06-29,Platinum
C00781,Udarsh Cherian,Rajasthan,Jodhpur,4,658689.75,164672.44,2023-03-25,2024-05-22,Platinum
C00110,Warinder Garg,Rajasthan,Naihati,5,658637.99,131727.6,2022-02-24,2024-10-13,Platinum
C00879,Odika Atwal,Telangana,Kharagpur,4,654134.01,163533.5,2022-01-17,2024-07-30,Platinum
C00909,Kritika Jain,Kerala,Hazaribagh,5,650903.03,130180.61,2022-01-07,2024-11-12,Platinum
C00022,Aashi Baral,Telangana,Kollam,4,646708.37,161677.09,2022-09-11,2024-10-14,Platinum
C01713,Theodore Karnik,Rajasthan,Rajpur Sonarpur,8,642723.07,80340.38,2022-02-20,2024-05-10,Platinum
C00735,Jonathan Chaudhry,West Bengal,Kolkata,3,641783.65,213927.88,2022-03-16,2023-08-16,Platinum
C01329,Yashawini Mangal,Maharashtra,Rajpur Sonarpur,3,639587.98,213195.99,2023-05-11,2024-11-21,Platinum
C01709,Onkar Basak,Pune,Pali,8,637522.35,79690.29,2022-04-08,2024-05-08,Platinum
C00057,Ekta Raj,Karnataka,Warangal,6,635093.81,105848.97,2022-05-15,2024-08-22,Platinum
C00070,Vritti Choudhury,Pune,Raiganj,3,634764.91,211588.3,2022-11-27,2023-11-01,Platinum
C01381,Avi Bandi,Uttar Pradesh,Bikaner,4,633427.49,158356.87,2022-03-08,2024-09-05,Platinum
C00714,Jhalak Bava,Tamil Nadu,Kamarhati,5,632404.12,126480.82,2022-07-09,2024-11-28,Platinum
C01281,Naveen Maharaj,Haryana,Bidhannagar,3,626122.68,208707.56,2022-05-06,2024-08-11,Platinum
C00357,Chaitanya Oommen,Maharashtra,Mangalore,5,622688.78,124537.76,2022-07-17,2024-02-15,Platinum
C01267,Kala Kata,Haryana,Akola,7,619494.05,88499.15,2022-03-06,2024-10-01,Platinum
C00312,Wriddhish Bir,Odisha,Vijayanagaram,5,619428.3,123885.66,2022-01-05,2024-01-31,Platinum
C01164,Jason Gaba,Bihar,Dhule,6,618007.36,103001.23,2023-02-17,2024-10-10,Platinum
C01285,Oscar Bobal,Madhya Pradesh,Ramgarh,6,613424.53,102237.42,2022-05-26,2024-05-01,Platinum
C01701,Omya Mann,Kerala,Gurgaon,6,613238.61,102206.43,2022-09-01,2024-11-10,Platinum
C00447,Nirja Badal,Telangana,Bettiah,4,608343.17,152085.79,2023-05-18,2024-09-25,Platinum
C01635,Sanaya Narang,Uttar Pradesh,Tadepalligudem,5,604983.52,120996.7,2022-06-15,2023-04-01,Platinum
C01532,Tristan Sehgal,Odisha,Aurangabad,6,604822.97,100803.83,2022-10-26,2024-09-08,Platinum
C01313,Gopal Johal,Delhi,Akola,4,604289.39,151072.35,2022-05-14,2024-04-09,Platinum
C00327,Bhavani Sanghvi,Odisha,Dhanbad,5,603508.57,120701.71,2024-01-31,2024-11-29,Platinum
C01589,Keya Dalal,Tamil Nadu,Panvel,5,600407.38,120081.48,2023-01-03,2024-11-02,Platinum
C01442,Raghav Behl,Gujarat,Machilipatnam,5,600007.79,120001.56,2022-10-13,2024-12-19,Platinum
